parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
licensing.compatibility_policy,licensing,Política de compatibilidade,Regra para combinar materiais sob termos diferentes.,accepted,absent,,manual-review|rule-assisted|same-license-only|compatible-license-matrix|no-derivatives-block|private-only-fallback|legal-review-required,composition|adaptation|publication,rights-holder|institution|legal-reviewer|publisher,license terms > legal/institutional review > author,supported,"Usar assistência por regras, mas exigir revisão humana/legal quando ambíguo; não prometer compatibilidade automática universal.",licensing.policy|reuse.mode,publishing adaptation prohibited by source license,Compatibilidade integra publication gate.,Conflitos devem ser explicados em linguagem simples.,#5|#6|#7|#8
licensing.third_party_material,licensing,Material de terceiros,"Tratamento de assets, citações e conteúdos não cobertos pela licença principal.",accepted,absent,,none|declared-assets|excluded-from-license|permission-recorded|exception/limitation-claim|replace-before-publication|unknown,resource|asset|course|publication,author|rights-holder|institution|legal-reviewer,law/rights > institution > author,supported,Marcar escopo e direitos de cada material; licença do curso não deve encobrir terceiros.,authoring.source_grounding|publication.gate,,Metadados são provenance; não avaliação.,Alternativas acessíveis também precisam de direitos claros.,#5|#6|#7|#8
governance.workspace_type,governance,Tipo de workspace,Contexto de autoria e suas obrigações.,accepted,explicit-value,personal-or-educational-workspace,personal|private-team|course-team|research|institutional|confidential|catalogue-editorial|public-community,workspace,owner|institution|research-protocol,law/confidentiality > protocol > institution > owner,supported,Perfis distintos do mesmo produto; não converter todos em fluxo institucional.,governance.role_model|governance.confidentiality_class,,Tipo define autoridade/retention; não qualidade.,Entrada por perfil deve usar linguagem do usuário.,#5|#6|#7|#8
governance.role_model,governance,Modelo de papéis,Conjunto de capacidades por workspace.,accepted,implicit-value,local-role-and-capabilities,owner|author|contributor|viewer|reviewer|auditor|repairer|approver|publisher|admin|participant|catalogue-editor,workspace|course|library|publication,institution|workspace-owner|catalogue-policy,law/rights > protocol/institution > workspace owner,supported,Papéis locais e capacidades explícitas; evitar superpapel global desnecessário.,governance.separation_of_duties|publication.authority,,Mudanças de papel integram audit log.,Capacidades devem ser explicadas por ações permitidas.,#5|#6|#7|#8
governance.separation_of_duties,governance,Separação de deveres,Combinações de papéis que exigem pessoas ou aprovações distintas.,accepted,implicit-value,audit-repair-publish-separated-by-round/authority,none|workflow-only|different-round|different-agent|different-human|two-person|role-based-risk,workspace|publication|condition,institution|research-protocol|owner,law/safety > protocol/institution > risk policy > owner,supported,Baseline separa estados/rodadas; alto risco pode exigir pessoas distintas e dupla aprovação.,review.independence|governance.approval_rule,,Separação documenta governança; não garante correção.,Não excluir contribuintes por processo inacessível.,#5|#6|#7|#8
governance.approval_rule,governance,Regra de aprovação,"Quórum, competências e escopo para uma decisão.",accepted,implicit-value,explicit-owner/editorial-approval,none|single-owner|single-qualified|SME-plus-ID|two-person|unanimous|majority|institutional-board|protocol-fixed,artifact|publication|policy,owner|institution|research-protocol,law/rights > protocol > institution > owner,supported,Configurar por risco; registrar quem aprovou qual versão e critério.,review.approval_policy|governance.separation_of_duties,,Aprovação é decisão e provenance.,Fluxo deve suportar participação assíncrona e tecnologia assistiva.,#5|#6|#7|#8
governance.exception_policy,governance,Política de exceção,"Tratamento explícito de bypass, urgência ou impossibilidade.",accepted,absent,,none|owner-exception|institutional-exception|protocol-deviation|emergency-with-review|accessibility-exception|legal-override,gate|policy|publication,owner|institution|research-protocol|accessibility-rule,law/accessibility > protocol deviation rules > institution > owner,supported,"Exceção exige justificativa, prazo, impacto e revisão posterior; nunca bypass silencioso.",governance.audit_log|publication.gate,,Desvios precisam ser visíveis na interpretação.,Acomodação legítima não deve ser tratada como falha.,#5|#6|#7|#8
governance.audit_log,governance,Registro de auditoria,"Histórico autorizado de ações, decisões e mudanças.",accepted,implicit-value,revisions-and-actions,none|minimal-actions|editorial-events|permission-events|publication-events|complete-authoring-log|protocol-fixed,workspace|artifact|publication,system|institution|research-protocol,privacy/minimisation > legal/protocol retention > institutional need,supported,Registrar ações/decisões necessárias; não reter chat ou prompts completos por padrão.,authoring.provenance_capture|governance.retention_policy,,Audit log é operacional/governança; não deve virar learning analytics.,Visão resumida precisa ser legível.,#5|#6|#7|#8
governance.confidentiality_class,governance,Classe de confidencialidade,"Limite de acesso, reuse, exportação e uso por IA.",accepted,implicit-value,private/public-workspace-boundary,public|open-licensed|internal|private|confidential|restricted-research|participant-sensitive|legal-hold,artifact|workspace|source|context,rights-holder|institution|research-protocol,law/consent > institutional classification > owner,supported,"Propagar classificação a contexto, exportação e publicação; não enviar conteúdo restrito a provedor não autorizado.",authoring.context_authorization|governance.export_policy,,Classe limita observabilidade e retenção.,Classificação e restrições devem ser claras.,#5|#6|#7|#8
governance.export_policy,governance,Política de exportação,Quem pode exportar quais artefatos e metadados.,accepted,implicit-value,authorized-portable-artifacts,none|owner-export|role-export|deidentified-research|public-package|institution-approved|restricted,workspace|artifact|publication,owner|institution|research-protocol|rights-holder,law/license/confidentiality > protocol > institution > owner,supported,Exportação inclui licença/provenance/versões e exclui segredos; formatos finais pertencem a #6/#7.,licensing.policy|governance.confidentiality_class,,Export event é governança; não aprendizagem.,Pacotes devem incluir alternativas acessíveis.,#5|#6|#7|#8
governance.retention_policy,governance,Retenção editorial,"Prazo e unidade de retenção de drafts, comentários, logs e versões.",accepted,implicit-value,current-state-plus-published-revisions,ephemeral|current-only|until-publication|version-history|institution-schedule|protocol-schedule|legal-hold|user-controlled,workspace|artifact|annotation|audit-log,owner|institution|research-protocol|rights-holder,law/participant-rights > protocol/legal hold > institution > owner,supported,"Separar retenção de conteúdo, provenance, chat e logs; minimizar por finalidade.",publication.deletion_policy|governance.audit_log,,Retenção precisa ser parte da interpretação de ausência.,Usuário deve conseguir localizar/exportar observações próprias.,#5|#6|#7|#8
governance.institutional_lock,governance,Bloqueio institucional,Valores ou gates que uma instituição pode fixar.,accepted,absent,,none|license|confidentiality|review-rubric|approval|publication|provider-policy|retention|export|composite,deployment|workspace|course|condition,institution|research-protocol,law/accessibility/consent > protocol > institution > author/learner,supported,"Bloqueios são explícitos, versionados e explicados; não ocultar opção indisponível.",governance.exception_policy|governance.simple_administration,,Lock version precisa acompanhar snapshots.,Lock não pode impedir acomodação legal.,#5|#6|#7|#8
governance.simple_administration,governance,Administração compreensível,Forma de expor workflows complexos a autores não técnicos.,accepted,absent,,technical-console|role-oriented|guided-profile|progressive-disclosure|question-based|expert-mode|composite,platform|workspace,product|institution|user,accessibility > role needs > product default,supported,"Recomendar linguagem pedagógica, perfis, consequências, filas acionáveis e detalhes técnicos em camada avançada.",governance.workspace_type|publication.gate|review.rubric,,Views respondem perguntas do papel; sem score universal.,"Baseline acessível, retomável e operável por teclado/AT.",#5|#6|#7|#8
governance.unavailable_capability,governance,Capacidade indisponível,"Tratamento de função ausente, offline ou proibida.",accepted,implicit-value,explicit-error/no-silent-degradation,hide|disable-with-reason|fallback-equivalent|manual-path|queue-until-online|block-operation|protocol-deviation,operation|deployment|artifact,system|institution|research-protocol|accessibility-rule,safety/accessibility/protocol > deployment > user preference,supported,Nunca degradar silenciosamente; oferecer caminho manual/equivalente quando legítimo.,authoring.capability_discovery|publication.gate,,Indisponibilidade é contexto operacional.,Fallback não pode remover informação ou controle essencial.,#5|#6|#7|#8
